entry_idx,exit_idx,entry_time,exit_time,side,entry_price,exit_price,size,pnl,exit_reason,regime_at_entry
915,949,2024-09-22 02:15:00+00:00,2024-09-22 10:45:00+00:00,short,0.5985,0.5907637219054345,29312.05956091572,209.449742884793,tp,TREND_DOWN
955,960,2024-09-22 12:15:00+00:00,2024-09-22 13:30:00+00:00,long,0.591,0.5874313273931842,43437.89491938711,-180.53240596822184,sl,RANGE
960,993,2024-09-22 13:30:00+00:00,2024-09-22 21:45:00+00:00,long,0.5876,0.5839012629443787,40795.42270514346,-174.7120404991314,sl,RANGE
1010,1015,2024-09-23 02:00:00+00:00,2024-09-23 03:15:00+00:00,short,0.5899,0.5951981326150108,27730.123746881014,-163.42279091296186,sl,TREND_DOWN
1017,1035,2024-09-23 03:45:00+00:00,2024-09-23 08:15:00+00:00,short,0.5937,0.5855383081071673,26340.541723206446,199.55998959988213,tp,TREND_DOWN
1035,1189,2024-09-23 08:15:00+00:00,2024-09-24 22:45:00+00:00,short,0.588,0.5925150905617209,32557.6391909526,-166.29158195668919,sl,TREND_DOWN
1194,1200,2024-09-25 00:00:00+00:00,2024-09-25 01:30:00+00:00,long,0.5909,0.5953971216441641,47794.564374164685,186.48122386183888,tp,RANGE
1201,1213,2024-09-25 01:45:00+00:00,2024-09-25 04:45:00+00:00,long,0.5926,0.5892191921821838,43320.051347086584,-171.98177392245253,sl,RANGE
1213,1219,2024-09-25 04:45:00+00:00,2024-09-25 06:15:00+00:00,long,0.5893,0.5862488803556459,46705.38036720671,-169.88468048227497,sl,RANGE
1219,1242,2024-09-25 06:15:00+00:00,2024-09-25 12:00:00+00:00,long,0.5865,0.5909916894001395,46270.63270730458,180.4877510758421,tp,RANGE
1244,1257,2024-09-25 12:30:00+00:00,2024-09-25 15:45:00+00:00,long,0.5896,0.5866853091755833,48589.215578624404,-170.1291197769685,sl,RANGE
1257,1292,2024-09-25 15:45:00+00:00,2024-09-26 00:30:00+00:00,long,0.5852,0.5816171427411473,38418.218880161025,-159.99168908126262,sl,RANGE
1292,1293,2024-09-26 00:30:00+00:00,2024-09-26 00:45:00+00:00,long,0.5814,0.5783271028275925,43606.24721672555,-159.21618838961325,sl,RANGE
1300,1316,2024-09-26 02:30:00+00:00,2024-09-26 06:30:00+00:00,short,0.5819,0.5856754059592422,34514.47022330442,-150.5204129206528,sl,TREND_DOWN
1322,1347,2024-09-26 08:00:00+00:00,2024-09-26 14:15:00+00:00,long,0.5874,0.5919071010081796,42231.37511273589,165.3440225328512,tp,RANGE
1362,1395,2024-09-26 18:00:00+00:00,2024-09-27 02:15:00+00:00,short,0.593,0.5860157004736006,27856.36440644918,178.23292583087724,tp,TREND_DOWN
1395,1409,2024-09-27 02:15:00+00:00,2024-09-27 05:45:00+00:00,long,0.5846,0.5903425761093034,34724.592584893755,178.90921034239264,tp,RANGE
1411,1426,2024-09-27 06:15:00+00:00,2024-09-27 10:00:00+00:00,long,0.5902,0.5866786699858803,38653.367027073145,-158.78836741713656,sl,RANGE
1426,1443,2024-09-27 10:00:00+00:00,2024-09-27 14:15:00+00:00,long,0.5869,0.5920573967693831,38530.842891403,175.9063741121152,tp,RANGE
1446,1456,2024-09-27 15:00:00+00:00,2024-09-27 17:30:00+00:00,short,0.5927,0.58605560688559,30599.878697929216,185.384392841362,tp,TREND_DOWN
1457,1492,2024-09-27 17:45:00+00:00,2024-09-28 02:30:00+00:00,short,0.5878,0.5924229087628166,30043.863341354478,-156.68871202076886,sl,TREND_DOWN
1492,1502,2024-09-28 02:30:00+00:00,2024-09-28 05:00:00+00:00,long,0.5917,0.5893210634295902,56917.47770661621,-168.94573770154534,sl,TREND_UP
